population,treatment,replicate,sample_id,d13c_permil,sample_mass_mg
CF,Dry,1,CF 1-1,-25.6,1.875
CF,Dry,2,CF 1-2,-26.6,1.825
CF,Dry,5,CF 1-5,-25.96,1.858
CF,Wet,2,CF 2-2,-27.09,2.09
CF,Wet,3,CF 2-3,-24.78,1.859
CF,Wet,5,CF 2-5,-25.82,2.085
CF,Deep,3,CF 3-3,-26.79,1.834
CF,Deep,4,CF 3-4,-25.8,2.019
CF,Deep,6,CF 3-6,-27.37,1.777
TL,Dry,2,TL 1-2,-25.75,1.764
TL,Dry,5,TL 1-5,-25.91,2.168
TL,Dry,6,TL 1-6,-27.42,1.89
TL,Wet,1,TL 2-1,-27.88,2.051
TL,Wet,2,TL 2-2,-26.88,2.086
TL,Wet,5,TL 2-5,-26.46,2.121
TL,Deep,2,TL 3-2,-27.3,2.112
TL,Deep,6,TL 3-5,-26.86,2.18
TL,Deep,5,TL 3-6,-26.6,2.118
SG,Dry,1,SG 1-1,-26.98,2.058
SG,Dry,2,SG 1-2,-26.76,2.096
SG,Dry,4,SG 1-4,-26.75,2.142
SG,Wet,1,SG 2-1,-26.38,2.072
SG,Wet,4,SG 2-4,-26.1,1.761
SG,Wet,6,SG 2-6,-27.84,1.925
SG,Deep,1,SG 3-1,-28.15,1.816
SG,Deep,2,SG 3-2,-26.12,1.788
SG,Deep,3,SG 3-3,-26.38,1.79
