"Script","Status","Time","Error"
"00_setup.R","Failed",NA,"object 'w' not found"
"01_soil_moisture.R","Failed",NA,"object 'w' not found"
"02_phenology.R","Failed",NA,"object 'w' not found"
"03_canopy.R","Failed",NA,"object 'w' not found"
"04_gas_exchange.R","Failed",NA,"object 'w' not found"
"05_water_potential.R","Failed",NA,"object 'w' not found"
"06_aci_curves.R","Failed",NA,"object 'w' not found"
"07_isotopes.R","Failed",NA,"object 'w' not found"
"08_combined_physiology.R","Failed",NA,"object 'w' not found"
"09_productivity.R","Failed",NA,"object 'w' not found"
"10_model_diagnostics.R","Failed",NA,"object 'w' not found"
