Population,TreatmentName,Vcmax_mean,Vcmax_se,Jmax_mean,Jmax_se,n,Correction
Sagwon,Wet,56.514637317091434,12.382896362635158,167.0244576540062,32.482082173338824,3,Tcorrect = TRUE
Sagwon,Dry,62.26749134077761,14.737706821504748,180.7740957143479,40.77813538208611,3,Tcorrect = TRUE
Sagwon,Deep,51.13399946409672,17.0309057460323,131.43568071173945,47.23532718131555,2,Tcorrect = TRUE
Toolik,Wet,46.89671554962613,12.41781431569361,130.22341055956008,29.86808446263796,3,Tcorrect = TRUE
Toolik,Dry,58.26415291605436,16.665273685736278,162.76971594494583,44.05389583037707,3,Tcorrect = TRUE
Toolik,Deep,56.956608669110054,3.202988917224626,155.89377296037097,7.406598797105687,2,Tcorrect = TRUE
Coldfoot,Wet,49.63422754229664,6.74053874212174,150.4144449673278,20.028114175158287,3,Tcorrect = TRUE
Coldfoot,Dry,51.586493814609526,15.176095974435647,160.1659302512532,49.14688187474229,3,Tcorrect = TRUE
Coldfoot,Deep,20.00906391246918,2.5718547679677375,52.51478473643205,9.519078216163182,2,Tcorrect = TRUE
Sagwon,Wet,101.81686026520696,14.11178200994079,204.80714203132192,38.17943672136063,3,Tcorrect = FALSE
Sagwon,Dry,86.54258693387246,15.340349288053076,209.1665392135109,46.19874372956527,3,Tcorrect = FALSE
Sagwon,Deep,50.08288811908646,9.677727847829486,130.16730720617824,38.86126651003483,2,Tcorrect = FALSE
Toolik,Wet,73.45895042084076,19.604889571296503,165.68424843781006,46.15877407978874,3,Tcorrect = FALSE
Toolik,Dry,75.33161608106998,19.411668158452574,185.22914046673162,48.72189489548097,3,Tcorrect = FALSE
Toolik,Deep,66.04154135711299,15.67704475175962,164.0028551544512,19.494153209357606,2,Tcorrect = FALSE
Coldfoot,Wet,77.41093078345574,10.575761336231906,178.65394761738514,23.405957359671454,3,Tcorrect = FALSE
Coldfoot,Dry,76.82387792684634,21.875349127971386,186.2071576654418,57.815769820397435,3,Tcorrect = FALSE
Coldfoot,Deep,26.275976579191138,14.442756900213627,56.5489816263719,20.23471078685911,2,Tcorrect = FALSE
