Population,Treatment Name,mean_ndvi_auc,max_ndvi,percent_of_max,percent_reduction
Sagwon,Wet,31.86166666666665,31.86166666666665,100,0
Sagwon,Dry,29.778333333333336,31.86166666666665,93.4613171522729,6.538682847727102
Sagwon,Deep,24.54916666666666,31.86166666666665,77.04922320447771,22.950776795522287
Toolik,Wet,31.55583333333333,31.55583333333333,100,0
Toolik,Dry,27.507499999999993,31.55583333333333,87.17088758021495,12.829112419785048
Toolik,Deep,26.005000000000035,31.55583333333333,82.40948583199103,17.590514168008966
Coldfoot,Wet,28.22750000000003,28.22750000000003,100,0
Coldfoot,Dry,26.598333333333347,28.22750000000003,94.2284415316033,5.771558468396705
Coldfoot,Deep,20.61666666666667,28.22750000000003,73.03752251055407,26.96247748944593
